Module	Section	Feedback/Query
Student Home	Focus	The home page currently shows eight-plus sections competing for attention at once — a live-class banner, jump-back-in card, four course cards, the momentum widget, rings, an AI promo, and two separate lists further down. It should collapse to a single dynamic card that answers "what do I do right now," ordered live class, then something due soon, then a lecture to resume, then a calm state. The harder design question is the tie-break: what shows when a class is live AND an assignment is due within the hour — the logic needs an explicit precedence rule, not just a list of conditions that happens to work in the demo data. Also worth designing deliberately: the calm "nothing urgent" state for a brand-new student with zero courses yet loaded, which is a real state during add/drop week, not just an edge case to shrug off.
Student Home	Promotional Cards	The AI Tutor promo card should go — a student who already has full access shouldn't be marketed a feature they own. Worth doing a pass beyond just that one card for any other place "AI edition" or upgrade-style badging shows up where the student has nothing to actually upgrade to; that kind of leftover marketing language undercuts the "this is your real department" feeling the whole product is going for.
Student Grades	Emotional Framing	Grades should open with plain standing — "you're doing fine" or "CSE110 needs attention" — with the breakdown a tap away, not a dense table as the first thing seen. Two states need explicit design, not just the happy path: the start of term when no grades exist yet, which shouldn't read as a scary blank dashboard, and a final grade that's deliberately withheld until it's certified — the wording there matters a lot, because to an anxious student a withheld grade can easily read as a missing or broken one if it's not framed clearly.
Student Grades	What-If Calculator	A "what do I need on the final" tool is probably the single most-requested feature on any grades page a student actually uses, and it doesn't exist today. It needs to handle a few real cases correctly: courses with different weighting schemes, pass/fail courses where a numeric projection doesn't make sense, and — most important — a student who's already barred from finals on attendance grounds, where showing a hypothetical grade at all would be actively misleading.
Student Momentum	Ring-to-Action	Tapping a ring should go straight to the action that closes it rather than a detail page — Absorb to the lecture, Retrieve to practice, Apply to the next assignment. The thing to design for is what happens when there's genuinely nothing left to do for that ring today: no unwatched lecture, no more practice available. It can't dead-end, and with four enrolled courses there also needs a sensible default for which course's content it opens when more than one qualifies, rather than defaulting to alphabetical.
Student Momentum	How Effort Is Measured	Right now the Absorb ring rewards time spent with a video open, which can be gamed by playing something at 2x with no attention at all, or just leaving a tab open. A light attention or recall check would make the metric mean something, but it has to be built carefully — it shouldn't penalize a student legitimately reviewing at 2x, someone who watches slower for genuine reasons, or a student on the low-bandwidth setting who may not even be streaming full video.
Student AI Tutor	Context Continuity	Tutor should remember the last course and topic and open straight into it instead of showing a picker every time. Worth deciding now, before a real backend exists, whether that memory lives per-device (today's likely local-storage answer) or per-account — a student switching from phone to laptop between classes is a completely normal case, and losing context on device switch would undercut the whole point of the fix.
Student AI Tutor	Trust and Correction	There's currently no way for a student to flag a Tutor answer as wrong, and for a CS audience that will actively try to break it, that gap will get found fast. A visible correction loop — flag, review, fix — builds more credibility than pretending errors don't happen. The open design question is what happens to the same wrong answer for the next student who asks the same thing before a human's reviewed it; routing flagged answers into the same review queue Copilot already uses for teacher-approved content is probably the cleanest answer.
Student Navigation	Sidebar	Down to Home, Courses, Grades, Tutor, and Profile, with Schedule and Practice folded into Courses and Settings/Usage into Profile. Worth keeping in mind for whenever group work ships: a student who's also leading a team project may need a nav destination that doesn't exist yet, so it's worth not over-optimizing the sidebar down to a count that has no room to grow.
Student Registration	Course Registration	There's no add/drop flow anywhere in the product, and this is the single highest-frequency, highest-anxiety thing a student does each term — seat scrambles, prerequisite conflicts, advising holds. If it's built rather than deep-linked to BRACU's existing system, it needs to model prerequisite chains, waitlists for full sections, and the genuinely cross-enrolled students the PRD itself flags (four of them this term) — those are exactly the cases a naive add/drop form breaks on first.
Student Group Work	Team Projects	Nowhere in the current data model is there a notion of a team — no formation, no shared submission, no peer input — despite CSE courses running heavily on labs and group projects. If this gets built, two things need answers from day one: how uneven participation within a team gets surfaced (some form of individual contribution signal, not just a shared grade), and what happens to a team's submission when a member drops the course mid-term.
Student Exam Prep	Past Papers / Question Bank	This is culturally one of the most-wanted features for BRAC exam prep and it doesn't exist yet. The real complexity isn't the UI, it's the policy underneath it: past papers are often faculty-owned material, so there needs to be a clear answer on who can upload and curate them, and whether worked solutions are included — an unmoderated answer bank is an academic-integrity risk, not just a content feature.
Student Discussions	Course Discussions	As a generic forum, this loses to the WhatsApp and Facebook groups students already run, because those are faster and more social. Before investing further, it's worth deciding what this actually is: an official, TA-answered, searchable Q&A archive that persists past the semester — genuinely useful during exam week in a way an ephemeral chat isn't — or an attempt at a social space, which is a different product with different moderation needs. Building it as an unclear hybrid of both is the outcome to avoid.
Student Live Class	Real Video	The live-class interface — chat, raise-hand, adaptive quality — is fully built out visually, but no actual video is streaming behind it yet; that needs a real backend (Agora, LiveKit, or similar) before any real class can run on it. Once it is real, the case worth planning for is a mid-class connection drop: does the student get a clear reconnect path, does the recording keep going even if their personal stream cuts out, and does behavior differ for someone already on the low-bandwidth setting.
Student Notifications	Delivery Channel	Today there's an in-app bell and an email digest, but nothing reaches a student's phone directly, and a browser tab notification will consistently lose the race against a WhatsApp buzz. A WhatsApp Business API or local SMS channel would close that gap, but it needs frequency limits from the start so it doesn't become another ignored institutional broadcast list, plus a fallback to email for any student who hasn't registered a phone number yet during onboarding.
Faculty Grading	Focus Mode	A one-at-a-time review flow — full-screen submission, the AI's draft score and feedback visible, approve and auto-advance, a visible progress bar, a genuine completion state at the end — would meaningfully cut the cognitive load of a nine-item queue. Two cases worth designing for explicitly: a teacher who disagrees sharply with the AI's draft score (code tests pass but the approach is wrong by the rubric) needs an override that doesn't feel like fighting the tool, and a late or resubmitted piece of work landing mid-session shouldn't disrupt the flow the teacher's already in.
Faculty Copilot	Inline Generation	Moving "generate a quiz for this chapter" onto the course content page itself, instead of a separate trip to Copilot with manual material selection, removes real friction. The thing to handle explicitly is a chapter with no uploaded material yet — the button should degrade to "upload your slides first" rather than generating from nothing or producing something that looks grounded but isn't.
Faculty At-Risk Flags	Actions, Not Just Signals	Every at-risk flag needs something attached to it — a pre-drafted check-in message, a link to the student's profile, an option to flag the advisor — because a flag with no action attached mostly just creates anxiety for the teacher looking at it. Worth capping how often the same student gets flagged for outreach in a short window too; a well-meaning check-in message sent every week to the same struggling student stops being support and starts being noise.
Faculty Navigation	Sidebar	Down to Home, Courses, Grading, Copilot, and Profile, with Record and Live becoming action buttons rather than sidebar destinations. Worth checking what a faculty member with zero sections this term — someone on sabbatical or in an admin-only role — actually sees; the grading queue and home cockpit shouldn't render as if something's broken just because there's genuinely nothing to grade.
Faculty Identity	The Demo Teacher	Dr. Kamrul Hasan needs to be findable searching "Kamrul" or "Hasan" in the faculty picker — this is the emotional center of the pitch, the moment an evaluator finds themselves in their own department's data. Worth thinking through what the other 266 faculty see when they search their own name in the same picker, since in a room full of real BRAC faculty, everyone will try that first, and an empty or generic result for everyone but Kamrul undercuts the moment for the rest of the room.
Faculty Identity	Selecting a Different Faculty Member	Once Kamrul is findable, the corollary rule needs verifying: choosing any other name in the picker should only change what's displayed — the name, title, email — never re-filter the underlying teaching data. This is the mechanic that lets any evaluator "be" a professor and still see a complete class, and it's exactly the kind of rule that's invisible while it holds and only shows up as a problem once it silently breaks.
Faculty Record	Topic Tagging	The recording studio's controls are real, but there's no topic-tagging option anywhere on the page, even though the product describes tagging a recording to a curriculum topic so it surfaces in the right place for students. Worth deciding the retag case too — if a teacher tags an already-published recording to a new topic later, does it retroactively appear for students who already watched and marked it done, or only for new viewers going forward.
Faculty Gradebook	CSV Export	The export button exists and is labeled correctly; what hasn't been confirmed is what the file actually contains for a section with a withheld or not-yet-released final grade. The case that matters here isn't a blank cell — it's whether the export could accidentally include a draft AI-suggested score that a teacher hasn't approved yet, which would be a real integrity problem given how much the product's credibility rests on this being the one genuinely functional export.
Faculty Momentum	Kept Private	The rule that a teacher's private Momentum is never visible to the administrator needs to hold everywhere, including indirectly — worth specifically checking whether the Analyst could ever surface something correlated with it, for instance if a chair asks a question like "which teacher is least active," since that's a case where the underlying data could leak the intent of the rule even while technically not showing the Momentum score itself.
