Student Home	Priority & Focus	Home shows 8+ sections competing for attention. Fix: ONE dynamic priority card at top — live class > upcoming > due > resume > "all caught up." Everything else below the fold.
Student Home	Promotional Cards	AI Tutor promo card sells a feature the user already has. Remove all promotional cards. AI should be woven into workflows, not advertised.
Student Grades	Emotional Design	Grade page is data-dense. Lead with "You're doing fine" or "CSE110 needs attention." Details behind a tap. First screen = emotional reassurance, not a dashboard.
Student AI Tutor	Context Friction	Tutor requires picking a course every time. Should remember last course and open directly. If user was viewing Pointer Arithmetic, Tutor should pre-load that topic.
Student Momentum	Ring-to-Action	Rings navigate to detail page, not to the action. Fix: Absorb → lecture player. Retrieve → practice quiz. Apply → next assignment. Each shows micro-label: "8 min left." ONE tap.
Student Navigation	Sidebar Overload	10+ sidebar items. Student needs: Home, Courses, Grades, Tutor. Schedule → tab in Courses. Practice → inside Courses. Usage/Settings → inside Profile. Mobile bottom nav: 4 items.
Faculty Grading	Cognitive Load	Queue shows 9 items at once. Add "Review all" focus mode: one submission full-screen, AI draft visible, Approve/Edit, auto-advance. Progress bar (1/9). "All caught up" completion state.
Faculty Copilot	Generation Friction	Quiz generation requires navigating to Copilot, selecting materials, configuring count. Too many clicks. Fix: "Generate quiz for this chapter" button inline on the course content page.
Faculty At-Risk	Insight Without Action	At-risk flags show info but no actions. Each needs: "Send check-in" (pre-drafted message), "View profile," "Flag to advisor." Insight without action = anxiety.
Faculty Navigation	Sidebar Overload	Faculty needs: Home, Courses, Grading, Copilot. "Record" and "Live" are action buttons, not sidebar destinations. Remove Copilot promo card from home.
Faculty Identity	Demo Teacher Missing	Dr. Kamrul Hasan (wired demo teacher per PRD §8) NOT found in faculty picker. The "find yourself" moment is the pitch's emotional core. Must be in the list.
Admin Home	Decision Hierarchy	Needs You, Timeline, Performance at equal weight. 99% pass rate doesn't need the Chair. Fix: Top 70% = "Needs Your Decision" (counts down). Below = "Department Health" (collapsed).
Admin Analyst	Discoverability	Analyst AI is the killer feature — answers with cited sources in ~3 sec. But hidden behind sidebar. Fix: When no decisions remain, Analyst becomes home hero: "Nothing needs you. Anything you want to know?"
Admin Certify	Equal Treatment	5 sections shown equally, but CSE110 Sec 3 (97%, -2% vs avg) needs attention; others are routine. Fix: Sort by anomaly. Visual accent on flagged sections. "Certify all routine" batch button.
Admin Analyst	Intent Coverage	Only 2 of 10 intents tested — both worked perfectly. Need to verify remaining 8: top-marks, at-risk, weakest-course, eligibility-barred, certification-pending, teacher-load, term-compare, dept-summary.
Coordinator Home	Wrong Priority	Home leads with handoffs (Flag to Chair, Export). Coordinator's question is "Is the data clean?" Fix: Lead with completeness checklist. "267 faculty (complete). 162 students. 1 section unstaffed (flagged)."
Coordinator Import	Post-Import Fear	Drop zone is good, but coordinator fears "Did I break something?" Fix: After drop, show preview: "42 will be added. 3 exist (skip). 0 errors." Table of first 10 rows. Button: "Import 42."
Shell / Search	Broken Feature	Cmd+K search does NOT respond in any role. Neither shortcut nor click works. This is a false affordance (PRD §29) — a control that looks interactive but does nothing. Fix immediately.
Shell / Theme	Missing Toggle	No dark/light mode toggle found. Site stuck in dark mode. PRD §10 says theme persists locally. Users in bright classrooms need light mode. Add sun/moon toggle in header.
Cross-Role Loops	Transitions Untested	Data is consistent across roles (CSE221 Sec 2 unstaffed in Admin + Coordinator, dates match). But no transition tested — can coordinator flag → admin assign → offering update? Loops = thesis proof.
Empty States	Missing Warmth	Empty states need warmth. "No class live" → "CSE220 tomorrow at 10 AM." Grading done → "All caught up — students see feedback today." Every empty state = reduce anxiety or build confidence.
Mobile	Responsiveness	Students check between classes on phone. Bottom nav below lg breakpoint with 4 items per role. Primary actions in thumb zone. No horizontal scroll at 375px. Modals full-screen on mobile.
Student Live Class	Untested	Live class banner visible (31/35 joined) but never entered. Broadcast, chat auto-scroll, raise-hand, polls, no-class empty state — all untested. Core "Learn" pillar from sales deck.
Recorded Lectures	Untested	Player never opened. Synced transcript, jump-to-moment, Smart Class AI panel, autoplay — untested. This is where "never miss a class" value proposition lives.
Faculty Gradebook	CSV Export	Gradebook exists (section filters work, 105 students). CSV export button present but not clicked. PRD §28 says this is "genuinely functional." Must verify it downloads a real Excel-friendly file.
Faculty Live+Record	Untested	Green Room → Live, Record studio with topic tagging, quiet publish — all untested. Core "Live" edition feature.
